AMSAssetRef,Latitude,Longitude,State,SnowIceRegion,CorrosionRegionType,StructureClassCode,Height,PaintingType,StructureLoadPercentage,InspectionFrequency
SA003727_STR_1,-35.076101,138.591821,SA,No,B (Low),Pole Steel,35.0,Environment / Aesthetic,30,7.0
SA003732_STR_1,-34.8932,138.55514,SA,No,B (Low),Pole Concrete,30.0,Not Painted,61,7.0
SA003735_STR_1,-34.5899167,138.5935139,SA,No,B (Low),Tower Steel,50.0,Environment / Aesthetic,60,9.0
SA003736_STR_1,-35.0952,138.55267,SA,No,C (Medium),Pole Steel,28.8,Not Painted,79,6.0
SA003760_STR_1,-33.18499282,138.300641063,SA,No,B (Low),Pole Steel,30.0,Environment / Aesthetic,90,7.0
SA003765_STR_1,-33.02306281,137.512522115,SA,No,B (Low),Pole Steel,30.0,Environment / Aesthetic,66,7.0
SA003770_STR_1,-36.97137,140.74095,SA,No,B (Low),Pole Steel,23.8,Not Painted,70.9,7.0
SA003785_STR_1,-34.773212,138.503218,SA,No,E (Very High),Pole Concrete,35.0,Not Painted,80,5.0
SA003799_STR_1,-33.490307,138.47993,SA,No,B (Low),Mast Guyed,43.05,Not Painted,51,5.0
SA003817_STR_1,-35.23828,138.65338,SA,No,B (Low),Tower Steel,50.0,Not Painted,53,9.0
SA003827_STR_1,-33.270007968,137.102409107,SA,No,B (Low),Pole Steel,30.0,Not Painted,83,10.0
SA003837_STR_1,-35.138622564,139.285089103,SA,No,C (Medium),Pole Concrete,35.0,Not Painted,61,6.0
SA003848_STR_1,-34.803582,138.611688,SA,No,B (Low),Pole Steel,33.8,Not Painted,70,7.0
SA003852_STR_1,-35.05088,138.5923,SA,No,B (Low),Pole Steel,35.0,Not Painted,35,8.0
SA003908_STR_1,-34.97985,138.5912,SA,No,B (Low),Pole Concrete,30.0,Not Painted,48,7.0
SA003913_STR_1,-34.987049,138.56988,SA,No,C (Medium),Pole Steel,30.0,Not Painted,80,6.0
SA003932_STR_1,-35.098312,139.31642,SA,No,C (Medium),Pole Steel,35.0,Not Painted,100,7.0
SA003946_STR_1,-35.01499,138.57123,SA,No,C (Medium),Pole Steel,28.8,Not Painted,60,6.0
SA003949_STR_1,-37.812794,140.774492,SA,No,C (Medium),Pole Concrete,30.0,Not Painted,40,6.0
SA003961_STR_1,-34.708458,138.70755,SA,No,B (Low),Pole Concrete,30.0,Not Painted,30,7.0
SA003965_STR_1,-34.71747,138.68521,SA,No,B (Low),Pole Steel,30.0,Not Painted,27,8.0
SA003973_STR_1,-34.98882,138.54059,SA,No,C (Medium),Pole Concrete,30.0,Not Painted,65,6.0
